epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,6961.98,0.90972,0.51678,1.11396,0.9373,0.92217,0.94777,0.61797,1.18499,0.53723,1.32044,0.0006536,0.0006536,0.0006536
138,7011.78,0.91969,0.52231,1.11507,0.93601,0.93182,0.94696,0.61702,1.18961,0.52177,1.33717,0.0006437,0.0006437,0.0006437
139,7060.69,0.92044,0.52033,1.12237,0.94275,0.93182,0.9531,0.62232,1.19144,0.52094,1.32846,0.0006338,0.0006338,0.0006338
140,7109.74,0.92072,0.51119,1.11511,0.93799,0.93315,0.95035,0.61944,1.18636,0.52754,1.32241,0.0006239,0.0006239,0.0006239
141,7158.67,0.89394,0.50177,1.09932,0.94819,0.9237,0.95429,0.62159,1.17369,0.52136,1.30368,0.000614,0.000614,0.000614
142,7207.61,0.91275,0.51905,1.11666,0.94543,0.92814,0.95041,0.62208,1.17814,0.52793,1.31202,0.0006041,0.0006041,0.0006041
143,7256.8,0.91838,0.52007,1.11657,0.94299,0.92857,0.94741,0.62072,1.1737,0.52656,1.30451,0.0005942,0.0005942,0.0005942
144,7305.83,0.88884,0.48778,1.09486,0.93442,0.92695,0.95061,0.61613,1.18454,0.53121,1.31846,0.0005843,0.0005843,0.0005843
145,7355.17,0.90061,0.51556,1.11592,0.94623,0.91418,0.95093,0.62384,1.1863,0.53628,1.31616,0.0005744,0.0005744,0.0005744
146,7404.07,0.89335,0.50314,1.11259,0.93064,0.9237,0.94579,0.61606,1.18653,0.52979,1.33532,0.0005645,0.0005645,0.0005645
147,7452.97,0.89265,0.51033,1.11746,0.93296,0.92619,0.94865,0.62246,1.18534,0.52395,1.3243,0.0005546,0.0005546,0.0005546
148,7501.89,0.89162,0.50206,1.10244,0.94717,0.91396,0.95496,0.62138,1.18922,0.52778,1.33122,0.0005447,0.0005447,0.0005447
149,7550.8,0.89212,0.506,1.10517,0.95192,0.92208,0.95001,0.61576,1.18659,0.52414,1.32739,0.0005348,0.0005348,0.0005348
150,7599.73,0.88658,0.49661,1.10247,0.95628,0.92312,0.95296,0.61996,1.16906,0.5176,1.31425,0.0005249,0.0005249,0.0005249
151,7648.66,0.88038,0.49492,1.10485,0.94218,0.92578,0.9474,0.61986,1.17312,0.52577,1.31251,0.000515,0.000515,0.000515
152,7697.57,0.87647,0.49139,1.09666,0.95285,0.91866,0.94498,0.62149,1.17575,0.52041,1.31575,0.0005051,0.0005051,0.0005051
153,7746.52,0.87767,0.5005,1.10205,0.94675,0.92361,0.94926,0.62343,1.1862,0.52476,1.32126,0.0004952,0.0004952,0.0004952
154,7795.51,0.87565,0.49279,1.09823,0.95621,0.92173,0.94862,0.61876,1.18317,0.5233,1.32046,0.0004853,0.0004853,0.0004853
